実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2015暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2015) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
4- 6.,"469,177.5 ","262,249.6 ","256,902.2 ","217,801.5 ","26,877.7 ","73,817.0 ","-3,777.3 ","81,532.1 ","47,695.2 ",-7.6 ,"-11,523.6 ","45,110.8 ","56,634.4 ","-7,685.7 ",,"19,923.8 ","489,101.2 ","6,237.3 ","10,158.4 ","3,921.1 ","495,338.5 ",,"486,018.6 ","359,148.5 ","127,196.6 ",,"145,872.2 ",,"472,003.3 ",,,
7- 9.,"471,678.1 ","264,066.9 ","258,535.8 ","219,183.7 ","27,140.0 ","73,391.8 ","-3,443.1 ","82,477.9 ","46,233.2 ",-9.8 ,"-11,020.0 ","47,048.9 ","58,068.9 ","-7,158.9 ",,"18,979.6 ","490,657.7 ","6,342.2 ","9,961.1 ","3,618.9 ","496,999.9 ",,"487,569.0 ","361,061.3 ","126,799.0 ",,"144,333.8 ",,"474,201.1 ",,,
10-12.,"471,848.9 ","264,798.7 ","259,295.7 ","219,703.0 ","26,009.4 ","74,183.8 ","-3,570.0 ","82,803.9 ","46,018.2 ",-387.8 ,"-11,687.1 ","48,122.7 ","59,809.8 ","-6,320.2 ",,"20,093.0 ","491,941.9 ","6,656.5 ","10,163.7 ","3,507.3 ","498,598.4 ",,"487,879.1 ","361,518.6 ","126,638.6 ",,"143,982.6 ",,"474,754.2 ",,,
2000/ 1- 3.,"479,860.3 ","266,285.2 ","261,034.0 ","221,194.4 ","26,274.5 ","76,969.7 ","-1,610.0 ","83,857.0 ","43,491.2 ",179.8 ,"-9,119.9 ","50,708.2 ","59,828.1 ","-6,467.2 ",,"18,312.3 ","498,172.6 ","6,355.1 ","10,531.1 ","4,176.0 ","504,527.7 ",,"493,602.2 ","367,928.7 ","125,827.2 ",,"144,921.2 ",,"480,612.0 ",,,
4- 6.,"482,133.6 ","265,904.4 ","260,989.0 ","220,907.4 ","26,955.1 ","75,878.9 ","1,321.9 ","84,867.0 ","43,194.5 ",40.0 ,"-9,887.5 ","52,332.5 ","62,220.0 ","-6,140.6 ",,"19,086.4 ","501,220.0 ","7,696.5 ","11,319.5 ","3,623.0 ","508,916.5 ",,"496,000.6 ","369,688.8 ","126,465.8 ",,"144,095.7 ",,"480,400.7 ",,,
7- 9.,"482,256.8 ","266,396.3 ","261,722.1 ","221,390.8 ","26,428.3 ","78,476.9 ","-1,031.7 ","85,491.2 ","42,393.8 ",-47.8 ,"-10,673.7 ","53,199.1 ","63,872.8 ","-5,176.6 ",,"18,700.3 ","500,957.0 ","7,662.4 ","11,411.7 ","3,749.4 ","508,619.4 ",,"496,410.8 ","370,265.6 ","126,285.4 ",,"145,675.9 ",,"482,669.6 ",,,
10-12.,"486,943.8 ","269,680.7 ","265,040.5 ","224,446.3 ","26,973.2 ","80,839.1 ",268.1 ,"86,040.2 ","41,070.6 ",-73.5 ,"-13,228.7 ","52,968.2 ","66,196.9 ","-4,625.9 ",,"19,353.8 ","506,297.6 ","7,671.4 ","11,818.6 ","4,147.1 ","513,969.0 ",,"503,246.5 ","377,670.2 ","125,593.1 ",,"147,489.4 ",,"486,225.7 ",,,
2001/ 1- 3.,"490,559.5 ","271,295.3 ","266,483.3 ","225,645.4 ","26,979.7 ","81,265.8 ","2,148.9 ","86,182.2 ","43,069.8 ",17.8 ,"-15,263.6 ","51,054.2 ","66,317.8 ","-5,136.4 ",,"19,229.5 ","509,789.0 ","7,944.1 ","12,164.8 ","4,220.7 ","517,733.1 ",,"509,059.6 ","381,447.3 ","127,666.9 ",,"149,751.8 ",,"488,103.3 ",,,
4- 6.,"486,877.3 ","273,501.4 ","268,476.6 ","227,406.3 ","25,460.8 ","79,098.7 ","2,335.4 ","86,935.1 ","40,513.3 ",-213.9 ,"-15,717.3 ","49,153.8 ","64,871.1 ","-5,036.3 ",,"17,984.2 ","504,861.6 ","7,746.8 ","11,766.5 ","4,019.6 ","512,608.4 ",,"506,090.9 ","380,241.9 ","125,855.4 ",,"143,759.6 ",,"484,448.5 ",,,
7- 9.,"481,572.5 ","273,340.7 ","268,190.6 ","226,887.7 ","25,326.4 ","77,644.1 ","-2,165.2 ","87,082.6 ","40,516.9 ",-243.2 ,"-14,882.0 ","48,073.2 ","62,955.2 ","-5,047.8 ",,"17,670.1 ","499,242.6 ","7,671.6 ","11,484.1 ","3,812.5 ","506,914.2 ",,"500,252.8 ","374,347.2 ","125,985.6 ",,"142,093.1 ",,"483,151.0 ",,,
10-12.,"479,930.3 ","272,911.6 ","267,740.4 ","226,211.9 ","25,453.3 ","74,594.7 ","-1,116.1 ","88,175.0 ","39,552.2 ",-24.6 ,"-13,943.0 ","47,151.5 ","61,094.5 ","-5,672.9 ",,"18,827.6 ","498,757.9 ","8,156.1 ","11,501.4 ","3,345.3 ","506,914.0 ",,"498,113.7 ","371,831.9 ","126,400.6 ",,"138,091.1 ",,"480,403.5 ",,,
2002/ 1- 3.,"480,740.5 ","274,487.4 ","269,405.5 ","227,641.4 ","25,207.3 ","73,956.7 ","-3,495.9 ","88,206.4 ","40,038.5 ",-81.5 ,"-12,308.8 ","49,302.9 ","61,611.8 ","-5,269.5 ",,"18,741.3 ","499,481.8 ","7,957.4 ","10,999.7 ","3,042.2 ","507,439.2 ",,"497,094.6 ","370,385.1 ","126,838.3 ",,"137,640.3 ",,"483,344.2 ",,,
4- 6.,"484,636.0 ","276,748.5 ","271,819.2 ","229,830.1 ","25,277.6 ","72,927.1 ","-2,443.7 ","88,525.4 ","38,952.1 ",-24.4 ,"-10,533.4 ","52,916.4 ","63,449.8 ","-4,793.1 ",,"18,718.6 ","503,354.6 ","7,188.7 ","10,396.7 ","3,208.0 ","510,543.3 ",,"498,766.4 ","372,625.2 ","126,232.4 ",,"135,628.7 ",,"486,263.0 ",,,
7- 9.,"486,158.3 ","276,963.3 ","272,137.3 ","229,936.5 ","25,217.7 ","74,123.9 ","-1,522.8 ","89,209.5 ","38,803.3 ",-65.6 ,"-12,265.1 ","53,285.5 ","65,550.5 ","-4,305.9 ",,"18,813.6 ","504,971.9 ","7,363.2 ","10,717.8 ","3,354.6 ","512,335.1 ",,"501,547.6 ","374,863.4 ","126,768.6 ",,"136,708.1 ",,"487,007.9 ",,,
10-12.,"487,510.0 ","276,311.1 ","271,455.2 ","229,040.0 ","24,894.5 ","74,180.2 ",490.3 ,"89,070.5 ","38,223.1 ",-171.5 ,"-11,394.8 ","55,126.7 ","66,521.5 ","-4,093.5 ",,"19,161.0 ","506,671.0 ","7,020.3 ","10,286.0 ","3,265.7 ","513,691.3 ",,"501,765.0 ","375,817.4 ","126,009.2 ",,"135,946.6 ",,"486,677.5 ",,,
2003/ 1- 3.,"487,815.1 ","277,463.3 ","272,448.4 ","229,806.7 ","24,752.8 ","74,469.2 ",-471.8 ,"89,547.4 ","36,982.0 ",-72.2 ,"-11,134.3 ","55,865.5 ","66,999.8 ","-3,721.2 ",,"17,506.8 ","505,321.9 ","7,620.8 ","10,720.1 ","3,099.3 ","512,942.7 ",,"501,674.7 ","376,264.4 ","125,468.0 ",,"134,987.8 ",,"487,745.3 ",,,
